Date,Ticker,compound,neg,neu,pos
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.659,0.0,0.313,0.687
2021-04-06,AMC,0.0516,0.0,0.625,0.375
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.6908,0.363,0.637,0.0
2021-04-06,AMC,0.7351,0.0,0.659,0.341
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1531,0.165,0.642,0.193
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.8126,0.0,0.641,0.359
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.1779,0.115,0.719,0.165
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,-0.3885,0.188,0.695,0.117
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.4939,0.0,0.824,0.176
2021-04-06,AMC,-0.296,0.524,0.476,0.0
2021-04-06,AMC,0.128,0.088,0.806,0.106
2021-04-06,AMC,0.4404,0.0,0.58,0.42
2021-04-06,AMC,-0.9231,0.522,0.404,0.074
2021-04-06,AMC,0.4019,0.0,0.828,0.172
2021-04-06,AMC,0.4019,0.0,0.856,0.144
2021-04-06,AMC,0.8326,0.0,0.719,0.281
2021-04-06,AMC,0.5106,0.0,0.82,0.18
2021-04-06,AMC,0.4215,0.0,0.843,0.157
2021-04-06,AMC,0.4939,0.0,0.61,0.39
2021-04-06,AMC,-0.6486,0.177,0.823,0.0
2021-04-06,AMC,0.6369,0.0,0.792,0.208
2021-04-06,AMC,0.8176,0.0,0.486,0.514
2021-04-06,AMC,0.5261,0.0,0.833,0.167
2021-04-06,AMC,0.7184,0.0,0.75,0.25
2021-04-06,AMC,-0.4019,0.213,0.787,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.25,0.25,0.75,0.0
2021-04-06,AMC,-0.6249,0.254,0.746,0.0
2021-04-06,AMC,0.4019,0.0,0.895,0.105
2021-04-06,AMC,0.0516,0.118,0.756,0.126
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,-0.6249,0.254,0.746,0.0
2021-04-06,AMC,0.6369,0.0,0.811,0.189
2021-04-06,AMC,-0.6452,0.47,0.408,0.122
2021-04-06,AMC,0.4019,0.0,0.856,0.144
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5334,0.0,0.699,0.301
2021-04-06,AMC,-0.1531,0.147,0.737,0.116
2021-04-06,AMC,0.5859,0.0,0.678,0.322
2021-04-06,AMC,0.8689,0.0,0.597,0.403
2021-04-06,AMC,0.6808,0.112,0.561,0.327
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.4215,0.203,0.797,0.0
2021-04-06,AMC,-0.5719,0.198,0.802,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.875,0.0,0.643,0.357
2021-04-06,AMC,0.8143,0.091,0.57,0.34
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.6908,0.305,0.695,0.0
2021-04-06,AMC,0.048,0.08,0.833,0.088
2021-04-06,AMC,-0.3804,0.12,0.88,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.1406,0.046,0.885,0.068
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5106,0.0,0.476,0.524
2021-04-06,AMC,0.3612,0.0,0.615,0.385
2021-04-06,AMC,-0.6228,0.389,0.451,0.16
2021-04-06,AMC,0.8074,0.0,0.451,0.549
2021-04-06,AMC,-0.2411,0.089,0.911,0.0
2021-04-06,AMC,0.2023,0.0,0.878,0.122
2021-04-06,AMC,0.1779,0.115,0.733,0.152
2021-04-06,AMC,-0.296,0.155,0.845,0.0
